name,Final_Score,ML_Score,Score_Diff,genres,main_studio
Sword Art Online,1.5730007135267938,1.5097376780393463,-0.0632630354874475,"Action, Adventure, Fantasy, Romance",A-1 Pictures
Boku no Hero Academia,1.7324451110815164,1.678673668792415,-0.05377144228910136,Action,Bones
Tokyo Ghoul,1.6367685779123105,1.5886463173501697,-0.04812226056214075,"Action, Fantasy, Horror, Suspense",Pierrot
Naruto,1.6727169391010575,1.629320076118146,-0.043396862982911344,"Action, Adventure, Fantasy",Pierrot
Mirai Nikki (TV),1.5040242035364773,1.461321854290614,-0.04270234924586336,"Action, Supernatural, Suspense",asread.
Akame ga Kill!,1.611636896442157,1.5695941026720246,-0.042042793770132425,"Action, Fantasy",White Fox
Nanatsu no Taizai,1.6069959680238193,1.5670837515034766,-0.039912216520342714,"Action, Adventure, Fantasy",A-1 Pictures
Shingeki no Kyojin,1.8614803643372573,1.8220730208498388,-0.03940734348741848,"Action, Award Winning, Drama, Suspense",Wit Studio
Ao no Exorcist,1.569908361141117,1.531577942260395,-0.038330418880722084,"Action, Supernatural",A-1 Pictures
Sword Art Online II,1.4116633925692705,1.3745734720298248,-0.03708992053944571,"Action, Adventure, Fantasy, Romance",A-1 Pictures
Tokyo Ghoul âˆšA,1.4605209009263338,1.4249043129492072,-0.035616587977126635,"Action, Fantasy, Horror, Suspense",Pierrot
Kakegurui,1.5148401765777026,1.479694228022442,-0.03514594855526054,"Drama, Mystery, Suspense",MAPPA
Another,1.5160077100523974,1.4813244311568656,-0.0346832788955318,"Horror, Mystery",P.A. Works
One Punch Man 2nd Season,1.4706799801673678,1.437225940675375,-0.03345403949199288,"Action, Comedy",J.C.Staff
Darling in the FranXX,1.4570077631621392,1.4240781111617689,-0.032929652000370346,"Action, Drama, Romance, Sci-Fi",A-1 Pictures
Fairy Tail,1.5386706944193862,1.5057545411359323,-0.032916153283453875,"Action, Adventure, Fantasy",Satelight
Boku no Hero Academia 2nd Season,1.7155597525749524,1.683989959947464,-0.03156979262748849,Action,Bones
Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka,1.4625257326677774,1.4314651035764163,-0.03106062909136109,"Action, Adventure, Fantasy",J.C.Staff
Death Note,1.836397446629857,1.806142635118778,-0.030254811511079005,"Supernatural, Suspense",Madhouse
Elfen Lied,1.4083321984766655,1.3790202480376914,-0.029311950438974055,"Action, Drama, Horror, Romance, Suspense",Arms
